Data;TotalView_24h;Peak_h1800;TotalView;Note
08/03/2020;823742;150000;823742;
09/03/2020;948203;150000;1771945;
10/03/2020;1116934;165000;2888879;
11/03/2020;1497752;180000;4386631;
12/03/2020;2037482;350000;6424113;
13/03/2020;1232557;90000;7656670;
14/03/2020;1077946;250000;8734616;
15/03/2020;823542;175000;9558158;
16/03/2020;883922;200000;10442080;
17/03/2020;994669;180000;11436749;
18/03/2020;981057;210000;12417806;
19/03/2020;1245513;200000;13663319;
20/03/2020;1682688;285000;15346007;
21/03/2020;1573936;279000;16919943;
22/03/2020;1906429;310000;18826372;
23/03/2020;1577784;306000;20404156;
24/03/2020;1993868;530911;22398024;
25/03/2020;1293310;290736;23691334;
26/03/2020;1171149;233318;24862483;
27/03/2020;1332554;263195;26195037;
28/03/2020;975048;151713;27170085;
29/03/2020;921898;165795;28091983;
30/03/2020;1119384;204738;29211367;
31/03/2020;1257319;217701;30468686;
01/04/2020;1239018;212104;31707704;
02/04/2020;1157213;277316;32864917;
03/04/2020;870827;148661;33735744;
04/04/2020;858202;215902;34593946;
05/04/2020;626907;103462;35220853;
06/04/2020;717762;105879;35938615;
07/04/2020;644714;113210;36583329;
08/04/2020;625354;117341;37208683;
09/04/2020;636590;153450;37845273;
10/04/2020;675468;121427;38520741;
11/04/2020;573989;101307;39094730;
12/04/2020;460613;78941;39555343;
13/04/2020;574258;85433;40129601;
14/04/2020;641314;95709;40770915;
15/04/2020;664355;105090;41435270;
16/04/2020;679187;164178;42114457;
17/04/2020;588513;151515;42702970;
18/04/2020;534710;129124;43237680;ultima conferenza stampa giornaliera (17/4)
19/04/2020;441895;75283;43679575;
20/04/2020;491987;109707;44171562;conferenza stampa
21/04/2020;534442;122601;44706004;
22/04/2020;550103;138752;45256107;
23/04/2020;478578;83300;45734685;conferenza stampa
24/04/2020;495392;97373;46230077;
25/04/2020;418502;63060;46648579;
26/04/2020;379013;58708;47027592;
27/04/2020;408480;60759;47436072;conferenza stampa
28/04/2020;482301;114653;47918373;
29/04/2020;453756;63935;48372129;
30/04/2020;463521;60561;48835650;ultima conferenza stampa
01/05/2020;416504;79809;49252154;
02/05/2020;425391;84209;49677545;
03/05/2020;356143;57613;50033688;
04/05/2020;355160;58179;50388848;
05/05/2020;373176;54578;50762024;
06/05/2020;345172;50135;51107196;
07/05/2020;361951;69692;51469147;
08/05/2020;336824;56637;51805971;
09/05/2020;294432;49318;52100403;
10/05/2020;258036;34768;52358439;
11/05/2020;265843;53534;52624282;
12/05/2020;310110;52862;52934392;
13/05/2020;359365;91028;53293757;
14/05/2020;329967;55060;53623724;
15/05/2020;302106;59060;53925830;
16/05/2020;258469;48539;54184299;
17/05/2020;216046;42093;54400345;
18/05/2020;190941;30073;54591286;Fase2
19/05/2020;240085;43676;54831371;
20/05/2020;251952;49951;55083323;
21/05/2020;212199;32325;55295522;
22/05/2020;208011;29899;55503533;
23/05/2020;203496;38701;55707029;
24/05/2020;182259;24265;55889288;
25/05/2020;202782;31701;56092070;
26/05/2020;240237;37415;56332307;
27/05/2020;199421;27911;56531728;
28/05/2020;193335;29947;56725063;
29/05/2020;190355;42748;56915418;
30/05/2020;191546;39086;57106964;
31/05/2020;151912;20570;57258876;
01/06/2020;199999;28493;57458875;
02/06/2020;167052;27903;57625927;
03/06/2020;165818;22258;57791745;
04/06/2020;180638;25104;57972383;Fase3
05/06/2020;191171;32194;58163554;
06/06/2020;176187;30353;58339741;
07/06/2020;132450;20958;58472191;
08/06/2020;139049;21082;58611240;
09/06/2020;139548;21955;58750788;
10/06/2020;152208;23791;58902996;
11/06/2020;146503;24615;59049499;
12/06/2020;158168;24952;59207667;
13/06/2020;130851;19025;59338518;
14/06/2020;97066;14725;59435584;
15/06/2020;105132;21073;59540716;
