data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note
2020-06-28T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,28,2,30,254,284,-53,1,2540,462,3102,184,3286,104558,69720,
2020-06-28T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,1,0,1,1,2,-5,0,372,27,401,0,401,39138,38358,
2020-06-28T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,4,0,4,22,26,-5,1,1057,97,1175,5,1180,93852,91818,
2020-06-28T17:00:00,ITA,15,Campania,40.83956555,14.25084984,39,0,39,124,163,0,0,4071,431,4664,1,4665,277560,134651,
2020-06-28T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.3417208,108,12,120,922,1042,1,21,23161,4253,27956,500,28456,486730,291041,
2020-06-28T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,12,0,12,26,38,-4,1,2925,345,3307,1,3308,186781,105492,
2020-06-28T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,187,13,200,641,841,14,14,6418,837,5983,2113,8096,333852,272915,
2020-06-28T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,48,3,51,221,272,4,4,8137,1558,9016,951,9967,145111,77675,
2020-06-28T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,323,43,366,10581,10947,-45,97,66175,16639,88812,4949,93761,1022440,611487,
2020-06-28T17:00:00,ITA,11,Marche,43.61675973,13.5188753,9,0,9,311,320,-37,0,5474,991,6785,0,6785,136117,82147,
2020-06-28T17:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,26,26,0,0,396,23,444,1,445,22399,21325,
2020-06-28T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,3,1,4,81,85,-2,1,2260,292,2637,0,2637,83445,40487,
2020-06-28T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,2,0,2,52,54,3,3,4404,405,3378,1485,4863,120065,62021,
2020-06-28T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,305,12,317,1178,1495,-8,14,25756,4085,27436,3900,31336,410813,257049,
2020-06-28T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,27,0,27,119,146,-1,0,3842,543,2258,2273,4531,174968,116126,Per 1602 casi non è disponibile la provenienza
2020-06-28T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,6,0,6,8,14,1,1,1218,132,1360,4,1364,82182,69088,
2020-06-28T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,21,4,25,105,130,0,0,2666,281,2748,329,3077,205492,168323,
2020-06-28T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,16,6,22,301,323,5,5,8817,1103,10044,199,10243,332758,227034,
2020-06-28T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,2,1,3,6,9,-1,0,1351,80,1428,12,1440,94286,64456,
2020-06-28T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,3,0,3,1,4,0,0,1044,146,1083,111,1194,18062,13681,
2020-06-28T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,16,1,17,443,460,-22,11,16807,2008,19255,20,19275,944010,405126,
