date;region_code;region_name;lat;long;hospitalized_with_symptoms;intensive_care;total_hospitalized;home_isolation;positive_tests;new_positive_tests;discharged;deceased;total_cases;total_tests;;;;;;;;;;;;
24/02/2020;13;Abruzzo;4.235.122.196;1.339.843.823;0;0;0;0;0;0;0;0;0;5;;;;;;;;;;;;
24/02/2020;17;Basilicata;4.063.947.052;1.580.514.834;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
24/02/2020;4;P.A. Bolzano;4.649.933.453;1.135.662.422;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;
24/02/2020;18;Calabria;3.890.597.598;1.659.440.194;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;
24/02/2020;15;Campania;4.083.956.555;1.425.084.984;0;0;0;0;0;0;0;0;0;10;;;;;;;;;;;;
24/02/2020;8;Emilia Romagna;4.449.436.681;113.417.208;10;2;12;6;18;18;0;0;18;148;;;;;;;;;;;;
24/02/2020;6;Friuli Venezia Giulia;456.494.354;1.376.813.649;0;0;0;0;0;0;0;0;0;58;;;;;;;;;;;;
24/02/2020;12;Lazio;4.189.277.044;1.248.366.722;1;1;2;0;2;2;1;0;3;124;;;;;;;;;;;;
24/02/2020;7;Liguria;4.441.149.315;89.326.992;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;
24/02/2020;3;Lombardia;4.546.679.409;9.190.347.404;76;19;95;71;166;166;0;6;172;1463;;;;;;;;;;;;
24/02/2020;11;Marche;4.361.675.973;135.188.753;0;0;0;0;0;0;0;0;0;16;;;;;;;;;;;;
24/02/2020;14;Molise;4.155.774.754;1.465.916.051;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
24/02/2020;1;Piemonte;450.732.745;7.680.687.483;2;0;2;1;3;3;0;0;3;141;;;;;;;;;;;;
24/02/2020;16;Puglia;4.112.559.576;1.686.736.689;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
24/02/2020;20;Sardegna;3.921.531.192;9.110.616.306;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;
24/02/2020;19;Sicilia;3.811.569.725;133.623.567;0;0;0;0;0;0;0;0;0;5;;;;;;;;;;;;
24/02/2020;9;Toscana;4.376.923.077;1.125.588.885;0;0;0;0;0;0;0;0;0;140;;;;;;;;;;;;
24/02/2020;4;P.A. Trento;4.606.893.511;1.112.123.097;0;0;0;0;0;0;0;0;0;3;;;;;;;;;;;;
