"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi"
"2020-02-25 18:00:00","ITA","13","Abruzzo","42.35122196","13.39843823","0","0","0","0","0","0","0","0","0","5"
"2020-02-26 18:00:00","ITA","13","Abruzzo","42.35122196","13.39843823","0","0","0","0","0","0","0","0","0","13"
"2020-02-27 18:00:00","ITA","13","Abruzzo","42.35122196","13.39843823","1","0","1","0","1","1","0","0","1","33"
"2020-02-28 18:00:00","ITA","13","Abruzzo","42.35122196","13.39843823","1","0","1","0","1","0","0","0","1","33"
"2020-02-29 17:00:00","ITA","13","Abruzzo","42.35122196","13.39843823","2","0","2","0","2","1","0","0","2","43"
"2020-03-01 17:00:00","ITA","13","Abruzzo","42.35122196","13.39843823","3","0","3","2","5","3","0","0","5","52"
"2020-03-02 18:00:00","ITA","13","Abruzzo","42.35122196","13.39843823","3","0","3","2","5","0","0","0","5","52"
"2020-03-03 18:00:00","ITA","13","Abruzzo","42.35122196","13.39843823","5","0","5","1","6","1","0","0","6","52"
"2020-03-04 17:00:00","ITA","13","Abruzzo","42.35122196","13.39843823","7","0","7","0","7","1","0","0","7","85"
"2020-03-05 17:00:00","ITA","13","Abruzzo","42.35122196","13.39843823","8","0","8","0","8","1","0","0","8","96"
"2020-03-06 17:00:00","ITA","13","Abruzzo","42.35122196","13.39843823","9","0","9","0","9","1","0","0","9","96"
"2020-03-07 18:00:00","ITA","13","Abruzzo","42.35122196","13.39843823","11","0","11","0","11","2","0","0","11","123"
"2020-03-08 18:00:00","ITA","13","Abruzzo","42.35122196","13.39843823","14","0","14","3","17","6","0","0","17","163"
"2020-03-09 18:00:00","ITA","13","Abruzzo","42.35122196","13.39843823","25","0","25","5","30","13","0","0","30","237"
