"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi"
"2020-02-25 18:00:00","ITA","17","Basilicata","40.63947052","15.80514834","0","0","0","0","0","0","0","0","0","0"
"2020-02-26 18:00:00","ITA","17","Basilicata","40.63947052","15.80514834","0","0","0","0","0","0","0","0","0","0"
"2020-02-27 18:00:00","ITA","17","Basilicata","40.63947052","15.80514834","0","0","0","0","0","0","0","0","0","0"
"2020-02-28 18:00:00","ITA","17","Basilicata","40.63947052","15.80514834","0","0","0","0","0","0","0","0","0","0"
"2020-02-29 17:00:00","ITA","17","Basilicata","40.63947052","15.80514834","0","0","0","0","0","0","0","0","0","32"
"2020-03-01 17:00:00","ITA","17","Basilicata","40.63947052","15.80514834","0","0","0","0","0","0","0","0","0","39"
"2020-03-02 18:00:00","ITA","17","Basilicata","40.63947052","15.80514834","0","0","0","0","0","0","0","0","0","39"
"2020-03-03 18:00:00","ITA","17","Basilicata","40.63947052","15.80514834","0","0","0","1","1","1","0","0","1","42"
"2020-03-04 17:00:00","ITA","17","Basilicata","40.63947052","15.80514834","0","0","0","1","1","0","0","0","1","48"
"2020-03-05 17:00:00","ITA","17","Basilicata","40.63947052","15.80514834","0","0","0","1","1","0","0","0","1","54"
"2020-03-06 17:00:00","ITA","17","Basilicata","40.63947052","15.80514834","1","0","1","2","3","2","0","0","3","63"
"2020-03-07 18:00:00","ITA","17","Basilicata","40.63947052","15.80514834","1","0","1","2","3","0","0","0","3","75"
"2020-03-08 18:00:00","ITA","17","Basilicata","40.63947052","15.80514834","2","0","2","2","4","1","0","0","4","123"
"2020-03-09 18:00:00","ITA","17","Basilicata","40.63947052","15.80514834","2","0","2","3","5","1","0","0","5","135"
