"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi"
"2020-02-25 18:00:00","ITA","18","Calabria","38.90597598","16.59440194","0","0","0","0","0","0","0","0","0","2"
"2020-02-26 18:00:00","ITA","18","Calabria","38.90597598","16.59440194","0","0","0","0","0","0","0","0","0","3"
"2020-02-27 18:00:00","ITA","18","Calabria","38.90597598","16.59440194","0","0","0","0","0","0","0","0","0","14"
"2020-02-28 18:00:00","ITA","18","Calabria","38.90597598","16.59440194","0","0","0","1","1","1","0","0","1","21"
"2020-02-29 17:00:00","ITA","18","Calabria","38.90597598","16.59440194","0","0","0","1","1","0","0","0","1","27"
"2020-03-01 17:00:00","ITA","18","Calabria","38.90597598","16.59440194","0","0","0","1","1","0","0","0","1","35"
"2020-03-02 18:00:00","ITA","18","Calabria","38.90597598","16.59440194","0","0","0","1","1","0","0","0","1","39"
"2020-03-03 18:00:00","ITA","18","Calabria","38.90597598","16.59440194","0","0","0","1","1","0","0","0","1","39"
"2020-03-04 17:00:00","ITA","18","Calabria","38.90597598","16.59440194","0","0","0","1","1","0","0","0","1","46"
"2020-03-05 17:00:00","ITA","18","Calabria","38.90597598","16.59440194","1","0","1","1","2","1","0","0","2","53"
"2020-03-06 17:00:00","ITA","18","Calabria","38.90597598","16.59440194","2","0","2","2","4","2","0","0","4","99"
"2020-03-07 18:00:00","ITA","18","Calabria","38.10922769","15.6434527","2","0","2","2","4","0","0","0","4","113"
"2020-03-08 18:00:00","ITA","18","Calabria","38.10922769","15.6434527","5","0","5","4","9","5","0","0","9","113"
"2020-03-09 18:00:00","ITA","18","Calabria","38.10922769","15.6434527","8","0","8","1","9","0","2","0","11","173"
