"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi"
"2020-02-25 18:00:00","ITA","15","Campania","40.83956555","14.25084984","0","0","0","0","0","0","0","0","0","10"
"2020-02-26 18:00:00","ITA","15","Campania","40.83956555","14.25084984","0","0","0","0","0","0","0","0","0","10"
"2020-02-27 18:00:00","ITA","15","Campania","40.83956555","14.25084984","2","0","2","1","3","3","0","0","3","10"
"2020-02-28 18:00:00","ITA","15","Campania","40.83956555","14.25084984","2","0","2","2","4","1","0","0","4","213"
"2020-02-29 17:00:00","ITA","15","Campania","40.83956555","14.25084984","3","0","3","10","13","9","0","0","13","373"
"2020-03-01 17:00:00","ITA","15","Campania","40.83956555","14.25084984","4","0","4","13","17","4","0","0","17","373"
"2020-03-02 18:00:00","ITA","15","Campania","40.83956555","14.25084984","4","0","4","13","17","0","0","0","17","373"
"2020-03-03 18:00:00","ITA","15","Campania","40.83956555","14.25084984","11","0","11","19","30","13","0","0","30","405"
"2020-03-04 17:00:00","ITA","15","Campania","40.83956555","14.25084984","11","0","11","20","31","1","0","0","31","429"
"2020-03-05 17:00:00","ITA","15","Campania","40.83956555","14.25084984","12","0","12","33","45","14","0","0","45","471"
"2020-03-06 17:00:00","ITA","15","Campania","40.83956555","14.25084984","12","0","12","45","57","12","0","0","57","471"
"2020-03-07 18:00:00","ITA","15","Campania","40.83956555","14.25084984","16","0","16","45","61","4","0","0","61","612"
"2020-03-08 18:00:00","ITA","15","Campania","40.83956555","14.25084984","30","7","37","63","100","39","1","0","101","980"
"2020-03-09 18:00:00","ITA","15","Campania","40.83956555","14.25084984","42","8","50","69","119","19","1","0","120","980"
