"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi"
"2020-02-25 18:00:00","ITA","08","Emilia Romagna","44.49436681","11.3417208","15","2","17","9","26","8","0","0","26","391"
"2020-02-26 18:00:00","ITA","08","Emilia Romagna","44.49436681","11.3417208","20","3","23","23","46","20","0","1","47","577"
"2020-02-27 18:00:00","ITA","08","Emilia Romagna","44.49436681","11.3417208","36","6","42","54","96","50","0","1","97","1033"
"2020-02-28 18:00:00","ITA","08","Emilia Romagna","44.49436681","11.3417208","56","6","62","81","143","47","0","2","145","1277"
"2020-02-29 17:00:00","ITA","08","Emilia Romagna","44.49436681","11.3417208","86","11","97","116","213","70","0","4","217","1550"
"2020-03-01 17:00:00","ITA","08","Emilia Romagna","44.49436681","11.3417208","127","13","140","137","277","64","0","8","285","1795"
"2020-03-02 18:00:00","ITA","08","Emilia Romagna","44.49436681","11.3417208","148","16","164","160","324","47","0","11","335","1973"
"2020-03-03 18:00:00","ITA","08","Emilia Romagna","44.49436681","11.3417208","187","24","211","187","398","74","4","18","420","2012"
"2020-03-04 17:00:00","ITA","08","Emilia Romagna","44.49436681","11.3417208","256","26","282","234","516","118","6","22","544","2500"
"2020-03-05 17:00:00","ITA","08","Emilia Romagna","44.49436681","11.3417208","327","32","359","299","658","142","10","30","698","2884"
"2020-03-06 17:00:00","ITA","08","Emilia Romagna","44.49436681","11.3417208","397","53","450","366","816","158","17","37","870","3136"
"2020-03-07 18:00:00","ITA","08","Emilia Romagna","44.49436681","11.3417208","464","64","528","409","937","121","25","48","1010","3604"
"2020-03-08 18:00:00","ITA","08","Emilia Romagna","44.49436681","11.3417208","542","75","617","480","1097","160","27","56","1180","4344"
"2020-03-09 18:00:00","ITA","08","Emilia Romagna","44.49436681","11.3417208","576","90","666","620","1286","189","30","70","1386","4906"
