"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi"
"2020-02-25 18:00:00","ITA","06","Friuli Venezia Giulia","45.6494354","13.76813649","0","0","0","0","0","0","0","0","0","89"
"2020-02-26 18:00:00","ITA","06","Friuli Venezia Giulia","45.6494354","13.76813649","0","0","0","0","0","0","0","0","0","114"
"2020-02-27 18:00:00","ITA","06","Friuli Venezia Giulia","45.6494354","13.76813649","0","0","0","0","0","0","0","0","0","141"
"2020-02-28 18:00:00","ITA","06","Friuli Venezia Giulia","45.6494354","13.76813649","0","0","0","0","0","0","0","0","0","169"
"2020-02-29 17:00:00","ITA","06","Friuli Venezia Giulia","45.6494354","13.76813649","0","0","0","0","0","0","0","0","0","189"
"2020-03-01 17:00:00","ITA","06","Friuli Venezia Giulia","45.6494354","13.76813649","0","0","0","6","6","6","0","0","6","243"
"2020-03-02 18:00:00","ITA","06","Friuli Venezia Giulia","45.6494354","13.76813649","0","0","0","9","9","3","0","0","9","269"
"2020-03-03 18:00:00","ITA","06","Friuli Venezia Giulia","45.6494354","13.76813649","1","0","1","12","13","4","0","0","13","354"
"2020-03-04 17:00:00","ITA","06","Friuli Venezia Giulia","45.6494354","13.76813649","3","0","3","15","18","5","0","0","18","376"
"2020-03-05 17:00:00","ITA","06","Friuli Venezia Giulia","45.6494354","13.76813649","4","0","4","17","21","3","0","0","21","397"
"2020-03-06 17:00:00","ITA","06","Friuli Venezia Giulia","45.6494354","13.76813649","4","0","4","24","28","7","3","0","31","577"
"2020-03-07 18:00:00","ITA","06","Friuli Venezia Giulia","45.6494354","13.76813649","7","1","8","31","39","11","3","0","42","577"
"2020-03-08 18:00:00","ITA","06","Friuli Venezia Giulia","45.6494354","13.76813649","7","1","8","45","53","14","3","1","57","997"
"2020-03-09 18:00:00","ITA","06","Friuli Venezia Giulia","45.6494354","13.76813649","18","1","19","70","89","36","3","1","93","1344"
