"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi"
"2020-02-25 18:00:00","ITA","12","Lazio","41.89277044","12.48366722","1","1","2","0","2","0","1","0","3","124"
"2020-02-26 18:00:00","ITA","12","Lazio","41.89277044","12.48366722","0","0","0","0","0","-2","3","0","3","124"
"2020-02-27 18:00:00","ITA","12","Lazio","41.89277044","12.48366722","0","0","0","0","0","0","3","0","3","552"
"2020-02-28 18:00:00","ITA","12","Lazio","41.89277044","12.48366722","0","0","0","0","0","0","3","0","3","611"
"2020-02-29 17:00:00","ITA","12","Lazio","41.89277044","12.48366722","3","0","3","0","3","3","3","0","6","679"
"2020-03-01 17:00:00","ITA","12","Lazio","41.89277044","12.48366722","3","0","3","0","3","0","3","0","6","724"
"2020-03-02 18:00:00","ITA","12","Lazio","41.89277044","12.48366722","3","0","3","1","4","1","3","0","7","773"
"2020-03-03 18:00:00","ITA","12","Lazio","41.89277044","12.48366722","10","0","10","1","11","7","3","0","14","877"
"2020-03-04 17:00:00","ITA","12","Lazio","41.89277044","12.48366722","15","3","18","9","27","16","3","0","30","995"
"2020-03-05 17:00:00","ITA","12","Lazio","41.89277044","12.48366722","20","7","27","14","41","14","3","0","44","1175"
"2020-03-06 17:00:00","ITA","12","Lazio","41.89277044","12.48366722","26","8","34","16","50","9","3","1","54","1373"
"2020-03-07 18:00:00","ITA","12","Lazio","41.89277044","12.48366722","43","8","51","21","72","22","3","1","76","1582"
"2020-03-08 18:00:00","ITA","12","Lazio","41.89277044","12.48366722","47","8","55","26","81","9","3","3","87","1929"
"2020-03-09 18:00:00","ITA","12","Lazio","41.89277044","12.48366722","55","8","63","31","94","13","3","5","102","1929"
