"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi"
"2020-02-25 18:00:00","ITA","07","Liguria","44.41149315","8.9326992","1","0","1","0","1","1","0","0","1","39"
"2020-02-26 18:00:00","ITA","07","Liguria","44.41149315","8.9326992","6","0","6","5","11","10","0","0","11","66"
"2020-02-27 18:00:00","ITA","07","Liguria","44.41149315","8.9326992","9","0","9","10","19","8","0","0","19","78"
"2020-02-28 18:00:00","ITA","07","Liguria","44.41149315","8.9326992","9","0","9","10","19","0","0","0","19","112"
"2020-02-29 17:00:00","ITA","07","Liguria","44.41149315","8.9326992","4","1","5","33","38","19","4","0","42","121"
"2020-03-01 17:00:00","ITA","07","Liguria","44.41149315","8.9326992","12","1","13","8","21","-17","4","0","25","121"
"2020-03-02 18:00:00","ITA","07","Liguria","44.41149315","8.9326992","12","1","13","5","18","-3","4","0","22","121"
"2020-03-03 18:00:00","ITA","07","Liguria","44.41149315","8.9326992","12","2","14","5","19","1","4","1","24","121"
"2020-03-04 17:00:00","ITA","07","Liguria","44.41149315","8.9326992","10","3","13","8","21","2","4","1","26","133"
"2020-03-05 17:00:00","ITA","07","Liguria","44.41149315","8.9326992","11","3","14","7","21","0","4","3","28","146"
"2020-03-06 17:00:00","ITA","07","Liguria","44.41149315","8.9326992","12","5","17","7","24","3","5","3","32","229"
"2020-03-07 18:00:00","ITA","07","Liguria","44.41149315","8.9326992","26","6","32","10","42","18","5","4","51","331"
"2020-03-08 18:00:00","ITA","07","Liguria","44.41149315","8.9326992","39","11","50","17","67","25","5","6","78","401"
"2020-03-09 18:00:00","ITA","07","Liguria","44.41149315","8.9326992","60","17","77","20","97","30","5","7","109","611"
