"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi"
"2020-02-25 18:00:00","ITA","03","Lombardia","45.46679409","9.190347404","79","25","104","127","231","65","0","9","240","3700"
"2020-02-26 18:00:00","ITA","03","Lombardia","45.46679409","9.190347404","79","25","104","145","249","18","0","9","258","3208"
"2020-02-27 18:00:00","ITA","03","Lombardia","45.46679409","9.190347404","172","41","213","136","349","100","40","14","403","3320"
"2020-02-28 18:00:00","ITA","03","Lombardia","45.46679409","9.190347404","235","47","282","192","474","125","40","17","531","4835"
"2020-02-29 17:00:00","ITA","03","Lombardia","45.46679409","9.190347404","256","80","336","216","552","78","40","23","615","5723"
"2020-03-01 17:00:00","ITA","03","Lombardia","45.46679409","9.190347404","406","106","512","375","887","335","73","24","984","6879"
"2020-03-02 18:00:00","ITA","03","Lombardia","45.46679409","9.190347404","478","127","605","472","1077","190","139","38","1254","7925"
"2020-03-03 18:00:00","ITA","03","Lombardia","45.46679409","9.190347404","698","167","865","461","1326","249","139","55","1520","9577"
"2020-03-04 17:00:00","ITA","03","Lombardia","45.46679409","9.190347404","877","209","1086","411","1497","171","250","73","1820","12138"
"2020-03-05 17:00:00","ITA","03","Lombardia","45.46679409","9.190347404","1169","244","1413","364","1777","280","376","98","2251","12354"
"2020-03-06 17:00:00","ITA","03","Lombardia","45.46679409","9.190347404","1622","309","1931","77","2008","231","469","135","2612","13556"
"2020-03-07 18:00:00","ITA","03","Lombardia","45.46679409","9.190347404","1661","359","2020","722","2742","734","524","154","3420","15778"
"2020-03-08 18:00:00","ITA","03","Lombardia","45.46679409","9.190347404","2217","399","2616","756","3372","630","550","267","4189","18534"
"2020-03-09 18:00:00","ITA","03","Lombardia","45.46679409","9.190347404","2802","440","3242","1248","4490","1118","646","333","5469","20135"
