"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi"
"2020-02-25 18:00:00","ITA","11","Marche","43.61675973","13.5188753","0","0","0","0","0","0","0","0","0","21"
"2020-02-26 18:00:00","ITA","11","Marche","43.61675973","13.5188753","1","0","1","0","1","1","0","0","1","28"
"2020-02-27 18:00:00","ITA","11","Marche","43.61675973","13.5188753","2","1","3","0","3","2","0","0","3","46"
"2020-02-28 18:00:00","ITA","11","Marche","43.61675973","13.5188753","3","2","5","1","6","3","0","0","6","47"
"2020-02-29 17:00:00","ITA","11","Marche","43.61675973","13.5188753","6","2","8","3","11","5","0","0","11","68"
"2020-03-01 17:00:00","ITA","11","Marche","43.61675973","13.5188753","12","5","17","8","25","14","0","0","25","101"
"2020-03-02 18:00:00","ITA","11","Marche","43.61675973","13.5188753","17","6","23","11","34","9","0","1","35","137"
"2020-03-03 18:00:00","ITA","11","Marche","43.61675973","13.5188753","27","13","40","19","59","25","0","2","61","200"
"2020-03-04 17:00:00","ITA","11","Marche","43.61675973","13.5188753","34","15","49","31","80","21","0","4","84","288"
"2020-03-05 17:00:00","ITA","11","Marche","43.61675973","13.5188753","57","19","76","44","120","40","0","4","124","413"
"2020-03-06 17:00:00","ITA","11","Marche","43.61675973","13.5188753","73","20","93","62","155","35","0","4","159","585"
"2020-03-07 18:00:00","ITA","11","Marche","43.61675973","13.5188753","94","36","130","71","201","46","0","6","207","816"
"2020-03-08 18:00:00","ITA","11","Marche","43.61675973","13.5188753","110","41","151","114","265","64","0","7","272","1025"
"2020-03-09 18:00:00","ITA","11","Marche","43.61675973","13.5188753","136","47","183","130","313","48","0","10","323","1250"
