"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi"
"2020-02-25 18:00:00","ITA","14","Molise","41.55774754","14.65916051","0","0","0","0","0","0","0","0","0","0"
"2020-02-26 18:00:00","ITA","14","Molise","41.55774754","14.65916051","0","0","0","0","0","0","0","0","0","0"
"2020-02-27 18:00:00","ITA","14","Molise","41.55774754","14.65916051","0","0","0","0","0","0","0","0","0","0"
"2020-02-28 18:00:00","ITA","14","Molise","41.55774754","14.65916051","0","0","0","0","0","0","0","0","0","0"
"2020-02-29 17:00:00","ITA","14","Molise","41.55774754","14.65916051","0","0","0","0","0","0","0","0","0","0"
"2020-03-01 17:00:00","ITA","14","Molise","41.55774754","14.65916051","0","0","0","0","0","0","0","0","0","6"
"2020-03-02 18:00:00","ITA","14","Molise","41.55774754","14.65916051","0","0","0","0","0","0","0","0","0","13"
"2020-03-03 18:00:00","ITA","14","Molise","41.55774754","14.65916051","3","0","3","0","3","3","0","0","3","13"
"2020-03-04 17:00:00","ITA","14","Molise","41.55774754","14.65916051","3","0","3","0","3","0","0","0","3","19"
"2020-03-05 17:00:00","ITA","14","Molise","41.55774754","14.65916051","4","0","4","3","7","4","0","0","7","24"
"2020-03-06 17:00:00","ITA","14","Molise","41.55774754","14.65916051","3","2","5","7","12","5","0","0","12","104"
"2020-03-07 18:00:00","ITA","14","Molise","41.55774754","14.65916051","3","2","5","9","14","2","0","0","14","112"
"2020-03-08 18:00:00","ITA","14","Molise","41.55774754","14.65916051","4","2","6","8","14","0","0","0","14","116"
"2020-03-09 18:00:00","ITA","14","Molise","41.55774754","14.65916051","4","2","6","8","14","0","0","0","14","212"
