"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi"
"2020-02-25 18:00:00","ITA","01","Piemonte","45.0732745","7.680687483","2","0","2","1","3","0","0","0","3","141"
"2020-02-26 18:00:00","ITA","01","Piemonte","45.0732745","7.680687483","2","0","2","1","3","0","0","0","3","156"
"2020-02-27 18:00:00","ITA","01","Piemonte","45.0732745","7.680687483","2","0","2","0","2","-1","0","0","2","156"
"2020-02-28 18:00:00","ITA","01","Piemonte","45.0732745","7.680687483","7","0","7","4","11","9","0","0","11","227"
"2020-02-29 17:00:00","ITA","01","Piemonte","45.0732745","7.680687483","7","0","7","4","11","0","0","0","11","308"
"2020-03-01 17:00:00","ITA","01","Piemonte","45.0732745","7.680687483","11","2","13","36","49","38","0","0","49","362"
"2020-03-02 18:00:00","ITA","01","Piemonte","45.0732745","7.680687483","12","2","14","37","51","2","0","0","51","434"
"2020-03-03 18:00:00","ITA","01","Piemonte","45.0732745","7.680687483","13","3","16","40","56","5","0","0","56","458"
"2020-03-04 17:00:00","ITA","01","Piemonte","45.0732745","7.680687483","26","13","39","43","82","26","0","0","82","543"
"2020-03-05 17:00:00","ITA","01","Piemonte","45.0732745","7.680687483","43","17","60","46","106","24","0","2","108","543"
"2020-03-06 17:00:00","ITA","01","Piemonte","45.0732745","7.680687483","57","30","87","52","139","33","0","4","143","793"
"2020-03-07 18:00:00","ITA","01","Piemonte","45.0732745","7.680687483","110","38","148","54","202","63","0","5","207","1046"
"2020-03-08 18:00:00","ITA","01","Piemonte","45.0732745","7.680687483","245","45","290","65","355","153","0","5","360","1636"
"2020-03-09 18:00:00","ITA","01","Piemonte","45.0732745","7.680687483","222","50","272","65","337","-18","0","13","350","1681"
