"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi"
"2020-02-25 18:00:00","ITA","16","Puglia","41.12559576","16.86736689","0","0","0","0","0","0","0","0","0","0"
"2020-02-26 18:00:00","ITA","16","Puglia","41.12559576","16.86736689","0","0","0","0","0","0","0","0","0","0"
"2020-02-27 18:00:00","ITA","16","Puglia","41.12559576","16.86736689","1","0","1","0","1","1","0","0","1","0"
"2020-02-28 18:00:00","ITA","16","Puglia","41.12559576","16.86736689","1","0","1","2","3","2","0","0","3","242"
"2020-02-29 17:00:00","ITA","16","Puglia","41.12559576","16.86736689","1","0","1","2","3","0","0","0","3","252"
"2020-03-01 17:00:00","ITA","16","Puglia","41.12559576","16.86736689","1","0","1","2","3","0","0","0","3","262"
"2020-03-02 18:00:00","ITA","16","Puglia","41.12559576","16.86736689","2","0","2","2","4","1","0","0","4","278"
"2020-03-03 18:00:00","ITA","16","Puglia","41.12559576","16.86736689","2","0","2","4","6","2","0","0","6","298"
"2020-03-04 17:00:00","ITA","16","Puglia","41.12559576","16.86736689","4","0","4","3","7","1","1","1","9","322"
"2020-03-05 17:00:00","ITA","16","Puglia","41.12559576","16.86736689","5","1","6","6","12","5","1","1","14","359"
"2020-03-06 17:00:00","ITA","16","Puglia","41.12559576","16.86736689","5","1","6","9","15","3","1","1","17","395"
"2020-03-07 18:00:00","ITA","16","Puglia","41.12559576","16.86736689","9","2","11","12","23","8","1","2","26","395"
"2020-03-08 18:00:00","ITA","16","Puglia","41.12559576","16.86736689","17","3","20","16","36","13","1","3","40","627"
"2020-03-09 18:00:00","ITA","16","Puglia","41.12559576","16.86736689","20","6","26","20","46","10","1","3","50","685"
