"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi"
"2020-02-25 18:00:00","ITA","20","Sardegna","39.21531192","9.110616306","0","0","0","0","0","0","0","0","0","1"
"2020-02-26 18:00:00","ITA","20","Sardegna","39.21531192","9.110616306","0","0","0","0","0","0","0","0","0","1"
"2020-02-27 18:00:00","ITA","20","Sardegna","39.21531192","9.110616306","0","0","0","0","0","0","0","0","0","1"
"2020-02-28 18:00:00","ITA","20","Sardegna","39.21531192","9.110616306","0","0","0","0","0","0","0","0","0","1"
"2020-02-29 17:00:00","ITA","20","Sardegna","39.21531192","9.110616306","0","0","0","0","0","0","0","0","0","1"
"2020-03-01 17:00:00","ITA","20","Sardegna","39.21531192","9.110616306","0","0","0","0","0","0","0","0","0","29"
"2020-03-02 18:00:00","ITA","20","Sardegna","39.21531192","9.110616306","0","0","0","0","0","0","0","0","0","29"
"2020-03-03 18:00:00","ITA","20","Sardegna","39.21531192","9.110616306","1","0","1","0","1","1","0","0","1","29"
"2020-03-04 17:00:00","ITA","20","Sardegna","39.21531192","9.110616306","1","0","1","1","2","1","0","0","2","42"
"2020-03-05 17:00:00","ITA","20","Sardegna","39.21531192","9.110616306","2","0","2","0","2","0","0","0","2","50"
"2020-03-06 17:00:00","ITA","20","Sardegna","39.21531192","9.110616306","2","0","2","3","5","3","0","0","5","99"
"2020-03-07 18:00:00","ITA","20","Sardegna","39.21531192","9.110616306","2","0","2","3","5","0","0","0","5","99"
"2020-03-08 18:00:00","ITA","20","Sardegna","39.21531192","9.110616306","5","0","5","6","11","6","0","0","11","149"
"2020-03-09 18:00:00","ITA","20","Sardegna","39.21531192","9.110616306","8","0","8","11","19","8","0","0","19","185"
