"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi"
"2020-02-25 18:00:00","ITA","19","Sicilia","38.11569725","13.3623567","1","0","2","2","3","3","0","0","3","5"
"2020-02-26 18:00:00","ITA","19","Sicilia","38.11569725","13.3623567","1","0","1","2","3","0","0","0","3","5"
"2020-02-27 18:00:00","ITA","19","Sicilia","38.11569725","13.3623567","1","0","1","1","2","-1","2","0","4","5"
"2020-02-28 18:00:00","ITA","19","Sicilia","38.11569725","13.3623567","1","0","1","1","2","0","2","0","4","5"
"2020-02-29 17:00:00","ITA","19","Sicilia","38.11569725","13.3623567","1","0","1","1","2","0","2","0","4","6"
"2020-03-01 17:00:00","ITA","19","Sicilia","38.11569725","13.3623567","1","0","1","6","7","5","2","0","9","291"
"2020-03-02 18:00:00","ITA","19","Sicilia","38.11569725","13.3623567","2","0","2","3","5","-2","2","0","7","307"
"2020-03-03 18:00:00","ITA","19","Sicilia","38.11569725","13.3623567","2","0","2","3","5","0","2","0","7","307"
"2020-03-04 17:00:00","ITA","19","Sicilia","38.11569725","13.3623567","5","0","5","11","16","11","2","0","18","367"
"2020-03-05 17:00:00","ITA","19","Sicilia","38.11569725","13.3623567","5","0","5","11","16","0","2","0","18","367"
"2020-03-06 17:00:00","ITA","19","Sicilia","38.11569725","13.3623567","7","0","7","15","22","6","2","0","24","367"
"2020-03-07 18:00:00","ITA","19","Sicilia","38.11569725","13.3623567","8","0","8","25","33","11","2","0","35","643"
"2020-03-08 18:00:00","ITA","19","Sicilia","38.11569725","13.3623567","18","0","18","33","51","18","2","0","53","791"
"2020-03-09 18:00:00","ITA","19","Sicilia","38.11569725","13.3623567","19","0","19","33","52","1","2","0","54","836"
