"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi"
"2020-02-25 18:00:00","ITA","04","Trento","46.06893511","11.12123097","0","0","0","0","0","0","0","0","0","3"
"2020-02-26 18:00:00","ITA","04","Trento","46.06893511","11.12123097","0","0","0","0","0","0","0","0","0","3"
"2020-02-27 18:00:00","ITA","04","Trento","46.06893511","11.12123097","0","0","0","0","0","0","0","0","0","32"
"2020-02-28 18:00:00","ITA","04","Trento","46.06893511","11.12123097","0","0","0","0","0","0","0","0","0","32"
"2020-02-29 17:00:00","ITA","04","Trento","46.06893511","11.12123097","0","0","0","0","0","0","0","0","0","43"
"2020-03-01 17:00:00","ITA","04","Trento","46.06893511","11.12123097","0","0","0","0","0","0","0","0","0","122"
"2020-03-02 18:00:00","ITA","04","Trento","46.06893511","11.12123097","0","0","0","0","0","0","0","0","0","122"
"2020-03-03 18:00:00","ITA","04","Trento","46.06893511","11.12123097","1","0","1","3","4","4","0","0","4","122"
"2020-03-04 17:00:00","ITA","04","Trento","46.06893511","11.12123097","1","0","1","4","5","1","0","0","5","122"
"2020-03-05 17:00:00","ITA","04","Trento","46.06893511","11.12123097","2","0","2","5","7","2","0","0","7","122"
"2020-03-06 17:00:00","ITA","04","Trento","46.06893511","11.12123097","4","0","4","6","10","3","0","0","10","122"
"2020-03-07 18:00:00","ITA","04","Trento","46.06893511","11.12123097","6","1","7","7","14","4","0","0","14","194"
"2020-03-08 18:00:00","ITA","04","Trento","46.06893511","11.12123097","7","2","9","14","23","9","0","0","23","228"
"2020-03-09 18:00:00","ITA","04","Trento","46.06893511","11.12123097","10","2","12","21","33","10","0","0","33","267"
