"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi"
"2020-02-25 18:00:00","ITA","10","Umbria","43.10675841","12.38824698","0","0","0","0","0","0","0","0","0","8"
"2020-02-26 18:00:00","ITA","10","Umbria","43.10675841","12.38824698","0","0","0","0","0","0","0","0","0","8"
"2020-02-27 18:00:00","ITA","10","Umbria","43.10675841","12.38824698","0","0","0","0","0","0","0","0","0","8"
"2020-02-28 18:00:00","ITA","10","Umbria","43.10675841","12.38824698","0","0","0","0","0","0","0","0","0","8"
"2020-02-29 17:00:00","ITA","10","Umbria","43.10675841","12.38824698","0","0","0","0","0","0","0","0","0","31"
"2020-03-01 17:00:00","ITA","10","Umbria","43.10675841","12.38824698","0","0","0","2","2","2","0","0","2","35"
"2020-03-02 18:00:00","ITA","10","Umbria","43.10675841","12.38824698","0","0","0","2","2","0","0","0","2","35"
"2020-03-03 18:00:00","ITA","10","Umbria","43.10675841","12.38824698","1","1","2","6","8","6","0","0","8","45"
"2020-03-04 17:00:00","ITA","10","Umbria","43.10675841","12.38824698","1","1","2","7","9","1","0","0","9","58"
"2020-03-05 17:00:00","ITA","10","Umbria","43.10675841","12.38824698","1","1","2","7","9","0","0","0","9","88"
"2020-03-06 17:00:00","ITA","10","Umbria","43.10675841","12.38824698","2","2","4","12","16","7","0","0","16","110"
"2020-03-07 18:00:00","ITA","10","Umbria","43.10675841","12.38824698","2","2","4","20","24","8","0","0","24","134"
"2020-03-08 18:00:00","ITA","10","Umbria","43.10675841","12.38824698","2","2","4","22","26","2","0","0","26","168"
"2020-03-09 18:00:00","ITA","10","Umbria","43.10675841","12.38824698","4","2","6","22","28","2","0","0","28","183"
