"data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi"
"2020-02-25 18:00:00","ITA","05","Veneto","45.43490485","12.33845213","12","7","19","23","42","10","0","1","43","3780"
"2020-02-26 18:00:00","ITA","05","Veneto","45.43490485","12.33845213","16","8","24","45","69","27","0","2","71","4900"
"2020-02-27 18:00:00","ITA","05","Veneto","45.43490485","12.33845213","19","8","27","82","109","40","0","2","111","6164"
"2020-02-28 18:00:00","ITA","05","Veneto","45.43490485","12.33845213","24","9","33","116","149","40","0","2","151","7414"
"2020-02-29 17:00:00","ITA","05","Veneto","45.43490485","12.33845213","24","11","35","154","189","40","0","2","191","8659"
"2020-03-01 17:00:00","ITA","05","Veneto","45.43490485","12.33845213","51","13","64","197","261","72","0","2","263","9056"
"2020-03-02 18:00:00","ITA","05","Veneto","45.43490485","12.33845213","53","14","67","204","271","10","0","2","273","9782"
"2020-03-03 18:00:00","ITA","05","Veneto","45.43490485","12.33845213","49","19","68","229","297","26","7","3","307","10176"
"2020-03-04 17:00:00","ITA","05","Veneto","45.43490485","12.33845213","76","23","99","246","345","48","9","6","360","10515"
"2020-03-05 17:00:00","ITA","05","Veneto","45.43490485","12.33845213","92","24","116","264","380","35","17","10","407","11949"
"2020-03-06 17:00:00","ITA","05","Veneto","45.43490485","12.33845213","117","27","144","310","454","74","22","12","488","13023"
"2020-03-07 18:00:00","ITA","05","Veneto","45.43490485","12.33845213","123","41","164","341","505","51","25","13","543","14429"
"2020-03-08 18:00:00","ITA","05","Veneto","45.43490485","12.33845213","146","47","193","430","623","118","29","18","670","15918"
"2020-03-09 18:00:00","ITA","05","Veneto","45.43490485","12.33845213","186","51","237","457","694","71","30","20","744","15956"
