data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,note_it,note_en
2020-03-16T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,71,37,108,57,165,37,7,4,176,1533,,
2020-03-16T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,1,2,3,9,12,1,0,0,12,230,,
2020-03-16T17:00:00,ITA,04,P.A. Bolzano,46.49933453,11.35662422,53,11,64,171,235,36,0,6,241,1740,,
2020-03-16T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,36,7,43,44,87,21,1,1,89,1030,,
2020-03-16T17:00:00,ITA,15,Campania,40.83956555,14.25084984,103,22,125,238,363,67,28,9,400,2517,,
2020-03-16T17:00:00,ITA,08,Emilia Romagna,44.49436681,11.3417208,1362,197,1559,1529,3088,347,88,346,3522,13096,,
2020-03-16T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,96,19,115,231,346,30,18,22,386,4851,,
2020-03-16T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,267,31,298,174,472,76,32,19,523,9330,,
2020-03-16T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,255,73,328,247,575,82,42,50,667,2189,,
2020-03-16T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,6171,823,6994,3867,10861,818,2368,1420,14649,43565,,
2020-03-16T17:00:00,ITA,11,Marche,43.61675973,13.5188753,528,110,638,547,1185,98,0,57,1242,3225,,
2020-03-16T17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,5,8,7,15,-2,5,1,21,253,,
2020-03-16T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,1045,186,1231,174,1405,375,0,111,1516,5588,,
2020-03-16T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,116,6,122,90,212,0,2,16,230,2017,nd-IT-0005,nd-EN-0005
2020-03-16T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,39,0,39,66,105,30,0,2,107,797,,
2020-03-16T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,75,20,95,108,203,24,8,2,213,2653,,
2020-03-16T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,175,107,282,559,841,78,11,14,866,5910,,
2020-03-16T17:00:00,ITA,04,P.A. Trento,46.06893511,11.12123097,73,19,92,275,367,0,5,6,378,1006,nd-IT-0003,nd-EN-0003
2020-03-16T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,30,15,45,114,159,20,4,1,164,1093,,
2020-03-16T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,28,5,33,70,103,47,0,2,105,287,,
2020-03-16T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,498,156,654,1620,2274,285,130,69,2473,35052,,
