data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en
2020-04-14T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,345,52,397,1403,1800,22,32,213,232,2245,20935,,,
2020-04-14T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,62,12,74,191,265,-5,0,35,19,319,4759,,,
2020-04-14T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,177,39,216,1348,1564,27,35,406,214,2184,24457,,,
2020-04-14T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,161,12,173,643,816,25,28,72,68,956,19014,,,
2020-04-14T17:00:00,ITA,15,Campania,40.83956555,14.25084984,618,82,700,2394,3094,32,99,415,260,3769,38094,,,
2020-04-14T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.3417208,3473,328,3801,9977,13778,-40,312,4269,2705,20752,101896,,,
2020-04-14T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,166,28,194,705,899,-408,38,1415,206,2520,31764,,,
2020-04-14T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1344,199,1543,2479,4022,102,143,789,300,5111,74650,,,
2020-04-14T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,967,133,1100,2366,3466,101,212,1549,793,5808,24446,,,
2020-04-14T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,12077,1122,13199,19164,32363,428,1012,17821,11142,61326,214870,,,
2020-04-14T17:00:00,ITA,11,Marche,43.61675973,13.5188753,937,106,1043,2052,3095,15,45,1603,728,5426,29160,,,
2020-04-14T17:00:00,ITA,14,Molise,41.55774754,14.65916051,26,4,30,170,200,-2,0,42,15,257,2522,,,
2020-04-14T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,3395,367,3762,9293,13055,290,556,2708,1927,17690,71678,,,
2020-04-14T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,611,62,673,1879,2552,40,53,288,278,3118,33071,,,
2020-04-14T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,107,24,131,769,900,-14,10,158,80,1138,11893,,,
2020-04-14T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,552,53,605,1466,2071,21,43,255,175,2501,37877,,,
2020-04-14T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,1002,225,1227,5125,6352,95,137,637,538,7527,82269,,,
2020-04-14T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,325,54,379,1703,2082,2,15,749,310,3141,18774,,,
2020-04-14T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,127,37,164,458,622,-3,1,646,53,1321,18956,,,
2020-04-14T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,112,14,126,433,559,-23,20,270,118,947,3726,,,
2020-04-14T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,1427,233,1660,9076,10736,-30,181,2790,906,14432,208878,,,
