data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2022-01-17T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,398,35,433,69441,69874,796,1527,95384,2705,,,167963,4122732,1097743,Dal totale dei positivi sono stati eliminati 2 casi in quanto non pazienti covid.,1,,,121468,46495,1831745,2290987,ITF,ITF1
2022-01-17T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,88,2,90,13789,13879,-137,144,34167,658,,,48704,600754,277943,"Alla data odierna, il dato relativo al valore giornaliero dei ""Casi identificati da test antigenico"" risulta uguale a 0, in quanto, pur essendo somministrati, i test rapidi risultati positivi sono tutti ritestati con tamponi processati con test molecolare. Il numero totale dei decessi ne comprende n. 23 a carico di pazienti non residenti, deceduti in strutture ospedaliere della Regione Basilicata.   ",0,,,48704,0,557295,43459,ITF,ITF5
2022-01-17T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,438,35,473,36659,37132,172,1693,107927,1731,,,146790,1865162,1471273,,3,,"L'Asp di Cosenza comunica 312 nuovi soggetti positivi di cui 2  fuori regione 				 L' Asp di Vibo Valentia comunica ""per mero errore di trascrizione ieri sono stati comunicati 9 ricoveri in più""				",138897,7893,1354042,511120,ITF,ITF6
2022-01-17T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1311,92,1403,242545,243948,-5258,9370,598428,8744,,,851120,11110749,4175974,,17,,"a seguito delle verifiche quotidiane, si evince che 6 decessi registrati oggi, risalgono al giorno 14/01/2022",756182,94938,7197180,3913569,ITF,ITF3
2022-01-17T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.3417208,2456,149,2605,309085,311690,8291,11189,490346,14577,,,816613,12621740,2501658,"Sono stati eliminati 10 casi, comunicati nei giorni precedenti, in quanto giudicati non casi COVID-19. In seguito a verifica sui dati comunicati nei giorni passati é stato eliminato 1 deceduto dalla provincia di Parma, inserito erroneamente.",7,,,663646,152967,7754349,4867391,ITH,ITH5
2022-01-17T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,399,42,441,48860,49301,892,1757,156199,4355,,,209855,4904576,1010044,"Il totale dei casi positivi è stato ridotto di 4 a seguito di 4 tamponi molecolari negativi dopo test antigenico positivo (1 caso relativo alla provincia di PN e 3 casi relativi alla provincia di UD).		 Si precisa che, dei 399 casi ricoverati in area medica, 21 casi sono ricoverati in ospedale per condizioni cliniche diverse da covid e risultati positivi sono attualmente isolati in reparti non covid.",2,,,156314,53541,2785205,2119371,ITH,ITH4
2022-01-17T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1789,204,1993,219540,221533,1328,6447,471008,9535,,,702076,14433499,5154602,,5,,,636468,65608,7331384,7102115,ITI,ITI4
2022-01-17T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,724,42,766,29008,29774,1795,2496,189298,4729,,,223801,3919695,1115611,"Si precisa che nel flusso informativo degli ospedalizzati in Area Medica e Terapia Intensiva sono conteggiati tutti i pazienti SARS-CoV2 positivi ricoverati sia per patologia Covid-19 correlata sia per altre causa. Inoltre, si fa presente che i pazienti attualmente ospedalizzati per patologia non Covid-19 correlata ammontano a circa il 30% del totale degli ospedalizzati positivi per SARS-CoV2.",4,,*di cui 3572 reinfezioni a partire dal 3/09/2021 [circ. min sal. n.37911 del 20/08/2021].,181498,42303,2110057,1809638,ITC,ITC3
2022-01-17T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,3649,267,3916,541537,545453,-12998,9883,1203382,35992,,,1784827,27948303,7290339,,10,,,1162061,622766,13877798,14070505,ITC,ITC4
2022-01-17T17:00:00,ITA,11,Marche,43.61675973,13.5188753,279,64,343,16407,16750,-643,2012,164270,3314,,,184334,2252962,1367443,,3,,,171577,12757,1757652,495310,ITI,ITI3
