data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2023-06-08T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,46,2,48,3045,3093,-2,72,654599,3976,,,661668,7516322,1375110,"Il dato ''incremento casi confermati'' è composto da 72, cioè 38 ''nuovi positivi'' e 34 ''reinfezioni''. ",0,,,252250,409418,2612471,4903851,ITF,ITF1
2023-06-08T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,17,0,17,8586,8603,7,10,191209,1033,,,200845,1347009,405632,Il dato relativo al numero dei “Casi in isolamento domiciliare” ed ai “Guariti” è in corso di revisione.,0,,,71241,129604,703506,643503,ITF,ITF5
2023-06-08T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,50,6,56,543,599,-29,50,635405,3448,,,639452,4373360,3403096,,1,,,202913,436539,1926768,2446592,ITF,ITF6
2023-06-08T17:00:00,ITA,15,Campania,40.83956555,14.25084984,109,1,110,19328,19438,21,106,2438960,11924,,,2470322,20970163,5422523,,0,,"a seguito delle verifiche ospedaliere si evince che due decessi registrati oggi, risalgono ai giorni 02/06 e 05/06 2023",956382,1513940,9634709,11335454,ITF,ITF3
2023-06-08T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.3417208,193,9,202,1191,1393,-89,61,2134593,19486,,,2155472,19624053,2986788,"Il dato odierno relativo alla provincia di Piacenza, risultato negativo rispetto a quello comunicato ieri, è determinato dalla revisione delle posizioni anagrafiche dei casi precedentemente inseriti.",0,,,1092866,1062606,10745202,8878851,ITH,ITH5
2023-06-08T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,47,1,48,376,424,-5,19,575046,6147,,,581617,7772853,1265762,,0,,,240274,341343,3865305,3907548,ITH,ITH4
2023-06-08T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,109,8,117,23203,23320,90,238,2384769,12954,,,2421043,26677592,6169927,,0,,,1039892,1381151,9732076,16945516,ITI,ITI4
2023-06-08T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,52,0,52,164,216,-18,33,662149,5945,,,668310,6984922,1524662,,0,,*di cui 52507  reinfezioni a partire dal 3/09/2021 [circ. min sal. n.37911 del 20/08/2021].,285993,382317,2704546,4280376,ITC,ITC3
2023-06-08T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,53,1,54,1248,1302,80,212,4117112,46039,,,4164453,45770510,9274873,,0,,,1540562,2623891,17115972,28654538,ITC,ITC4
2023-06-08T17:00:00,ITA,11,Marche,43.61675973,13.5188753,17,0,17,111,128,0,28,714328,4437,,,718893,3749232,2746940,,0,,,223034,495859,2019117,1730115,ITI,ITI3
