codice_regione,codice_nuts_1,descrizione_nuts_1,codice_nuts_2,denominazione_regione,sigla_regione,latitudine_regione,longitudine_regione,range_eta,totale_genere_maschile,totale_genere_femminile,totale_generale
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,0-15,87423,82474,169897
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,16-19,24402,22349,46751
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,20-29,67472,62611,130083
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,30-39,76472,74241,150713
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,40-49,94745,95315,190060
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,50-59,100048,104109,204157
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,60-69,80545,87160,167705
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,70-79,60810,69762,130572
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,80-89,34181,50307,84488
13,ITF,Sud,ITF1,Abruzzo,ABR,42.35122196,13.39843823,90+,5645,13870,19515
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,0-15,36113,33881,69994
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,16-19,11598,10434,22032
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,20-29,32068,29115,61183
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,30-39,33556,31648,65204
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,40-49,39260,39207,78467
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,50-59,43150,44672,87822
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,60-69,35360,37457,72817
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,70-79,24050,27755,51805
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,80-89,14507,21600,36107
17,ITF,Sud,ITF5,Basilicata,BAS,40.63947052,15.80514834,90+,2488,5335,7823
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,0-15,45942,43082,89024
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,16-19,12077,11192,23269
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,20-29,31553,29541,61094
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,30-39,32108,31019,63127
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,40-49,37666,37998,75664
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,50-59,42217,41322,83539
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,60-69,27838,29203,57041
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,70-79,21422,25191,46613
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,80-89,11056,16052,27108
21,ITH,Nord-Est,ITH1,Bolzano,BOL,46.49933453,11.35662422,90+,1713,4452,6165
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,0-15,136966,129422,266388
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,16-19,39783,36960,76743
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,20-29,110520,103369,213889
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,30-39,120086,116582,236668
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,40-49,131205,135212,266417
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,50-59,138226,148578,286804
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,60-69,117306,123909,241215
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,70-79,82572,92636,175208
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,80-89,43907,63813,107720
18,ITF,Sud,ITF6,Calabria,CAL,38.90597598,16.59440194,90+,7161,15897,23058
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,0-15,451436,426431,877867
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,16-19,134723,126971,261694
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,20-29,355330,338149,693479
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,30-39,358948,356310,715258
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,40-49,410263,425334,835597
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,50-59,418843,449841,868684
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,60-69,320879,349988,670867
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,70-79,221431,262949,484380
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,80-89,98936,156337,255273
15,ITF,Sud,ITF3,Campania,CAM,40.83956555,14.25084984,90+,13827,35217,49044
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,0-15,317256,298815,616071
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,16-19,83477,76568,160045
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,20-29,219087,201573,420660
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,30-39,251262,249979,501241
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,40-49,346381,346931,693312
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,50-59,347628,356469,704097
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,60-69,257808,284403,542211
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,70-79,210315,246814,457129
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,80-89,120582,177084,297666
08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.34172080,90+,19985,51702,71687
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,0-15,78715,74639,153354
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,16-19,22068,20363,42431
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,20-29,57197,52154,109351
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,30-39,64103,61526,125629
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,40-49,89845,88832,178677
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,50-59,97642,98441,196083
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,60-69,74689,81100,155789
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,70-79,65048,76361,141409
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,80-89,32497,50810,83307
06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,90+,4915,15271,20186
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,0-15,415547,392161,807708
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,16-19,109633,102331,211964
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,20-29,293505,270956,564461
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,30-39,341952,340756,682708
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,40-49,442726,463602,906328
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,50-59,449399,483431,932830
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,60-69,328257,368832,697089
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,70-79,247895,304112,552007
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,80-89,130682,200696,331378
12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,90+,19585,49642,69227
07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,0-15,92345,87335,179680
07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,16-19,26647,24741,51388
07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,20-29,71252,65071,136323
07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,30-39,75013,72589,147602
07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,40-49,104676,107694,212370
07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,50-59,123371,129314,252685
07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,60-69,96826,105949,202775
07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,70-79,83499,102535,186034
