data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en
2020-04-24T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,327,28,355,1724,2079,-21,18,438,286,2803,32397,25397,,
2020-04-24T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,59,7,66,163,229,0,4,107,24,360,9026,9026,,
2020-04-24T17:00:00,ITA,04,P.A. Bolzano,46.49933453,11.35662422,148,16,164,929,1093,-401,21,1100,263,2456,35062,17024,,
2020-04-24T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,123,7,130,691,821,-2,10,178,80,1079,28764,26811,,
2020-04-24T17:00:00,ITA,15,Campania,40.83956555,14.25084984,524,44,568,2375,2943,-35,44,1003,336,4282,61331,40053,,
2020-04-24T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.3417208,2807,264,3071,9438,12509,-336,247,8158,3303,23970,151505,102495,,
2020-04-24T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,136,16,152,1168,1320,185,24,1304,258,2882,55502,35547,dc-IT-0008,dc-EN-0008
2020-04-24T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1396,184,1580,2912,4492,6,78,1256,384,6132,114317,86545,,
2020-04-24T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,760,87,847,2590,3437,-29,124,2660,1076,7173,39563,26040,,
2020-04-24T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,8791,756,9547,24821,34368,495,1091,23782,13106,71256,314298,196406,,
2020-04-24T17:00:00,ITA,11,Marche,43.61675973,13.5188753,705,61,766,2507,3273,43,76,1890,865,6028,49163,33113,,
2020-04-24T17:00:00,ITA,14,Molise,41.55774754,14.65916051,19,1,20,180,200,2,3,67,20,287,4805,4718,,
2020-04-24T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,2918,257,3175,12216,15391,239,682,5732,2699,23822,125300,89392,,
2020-04-24T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,496,51,547,2386,2933,-3,42,565,383,3881,52472,51517,,
2020-04-24T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,95,19,114,690,804,-13,3,351,102,1257,19889,18050,dc-IT-0010,dc-EN-0010
2020-04-24T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,461,32,493,1827,2320,19,55,443,218,2981,65165,63626,,
2020-04-24T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,738,159,897,5236,6133,-38,97,2002,742,8877,121336,96180,,
2020-04-24T17:00:00,ITA,04,P.A. Trento,46.06893511,11.12123097,224,28,252,1575,1827,-44,49,1560,389,3776,29779,19250,,
2020-04-24T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,94,19,113,209,322,-33,1,979,62,1363,30524,20733,,
2020-04-24T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,88,7,95,259,354,-109,4,617,129,1100,5262,4454,,
2020-04-24T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,1159,130,1289,8390,9679,-246,348,6306,1244,17229,296896,181473,,
