data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en
2020-05-19T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,188,6,194,1195,1389,-24,4,1419,389,3197,58945,41162,,
2020-05-19T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,26,1,27,57,84,-9,1,282,27,393,23347,22767,,
2020-05-19T17:00:00,ITA,04,P.A. Bolzano,46.49933453,11.35662422,46,6,52,256,308,1,5,1988,291,2587,55526,25263,,
2020-05-19T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,50,2,52,330,382,-19,2,676,95,1153,57310,55270,,
2020-05-19T17:00:00,ITA,15,Campania,40.83956555,14.25084984,330,17,347,1171,1518,-155,12,2790,399,4707,147225,69264,,
2020-05-19T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.3417208,670,99,769,4561,5330,-195,47,17987,3997,27314,268200,168367,,
2020-05-19T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,76,2,78,522,600,-21,5,2283,320,3203,105656,65476,,
2020-05-19T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1124,74,1198,2588,3786,-40,20,3079,640,7505,213877,171353,,
2020-05-19T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,338,22,360,1904,2264,-75,66,5617,1376,9257,83593,49038,,
2020-05-19T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,4426,244,4670,22621,27291,218,462,42593,15597,85481,596355,353579,,
2020-05-19T17:00:00,ITA,11,Marche,43.61675973,13.5188753,144,17,161,1967,2128,-187,-3,3561,986,6675,89985,56668,dc-IT-0032,dc-EN-0032
2020-05-19T17:00:00,ITA,14,Molise,41.55774754,14.65916051,9,2,11,201,212,-5,0,188,22,422,11592,11354,,
2020-05-19T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,1579,96,1675,7960,9635,-239,108,16413,3679,29727,258489,173201,,
2020-05-19T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,247,22,269,1672,1941,-54,10,1982,473,4396,93834,64779,,
2020-05-19T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,71,9,80,261,341,-39,1,887,126,1354,44413,38503,,
2020-05-19T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,125,12,137,1387,1524,-15,8,1611,268,3403,122040,109195,,
2020-05-19T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,190,56,246,2077,2323,-250,7,6653,992,9968,209161,151093,,
2020-05-19T17:00:00,ITA,04,P.A. Trento,46.06893511,11.12123097,42,8,50,154,204,-44,7,3699,455,4358,70691,42125,,
2020-05-19T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,25,2,27,39,66,-11,3,1287,74,1427,57822,40651,,
2020-05-19T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,26,1,27,22,49,-11,1,983,143,1175,12663,9862,,
2020-05-19T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,259,18,277,3477,3754,-250,47,13423,1820,18997,523800,280629,,
