codice,data,dataset,stato,codice_regione,regione,codice_provincia,provincia,sigla_provincia,tipologia_avviso,avviso,note
pd-IT-0001,2020-03-07T17:00:00,dati-province,ITA,03,Lombardia,017,Brescia,BS,dati parziali,comunicazione parziale dei dati,300 positive cases
pd-IT-0002,2020-03-07T17:00:00,dati-regioni,ITA,03,Lombardia,017,Brescia,BS,dati parziali,comunicazione parziale dei dati,300 positive cases
pd-IT-0003,2020-03-07T17:00:00,dati-andamento-nazionale,ITA,03,Lombardia,017,Brescia,BS,dati parziali,comunicazione parziale dei dati,300 positive cases
pd-IT-0004,2020-03-10T17:00:00,dati-regioni,ITA,03,Lombardia,,,,dati parziali,comunicazione parziale dei dati,
pd-IT-0005,2020-03-10T17:00:00,dati-andamento-nazionale,ITA,03,Lombardia,,,,dati parziali,comunicazione parziale dei dati,
nd-IT-0001,2020-03-11T17:00:00,dati-regioni,ITA,13,Abruzzo,,,,nessun dato,non sono stati comunicati dati,
nd-IT-0002,2020-03-11T17:00:00,dati-andamento-nazionale,ITA,13,Abruzzo,,,,nessun dato,non sono stati comunicati dati,
nd-IT-0003,2020-03-16T17:00:00,dati-regioni,ITA,04,P.A. Trento,,,,nessun dato,non sono stati comunicati dati,
nd-IT-0004,2020-03-16T17:00:00,dati-andamento-nazionale,ITA,04,P.A. Trento,,,,nessun dato,non sono stati comunicati dati,
nd-IT-0005,2020-03-16T17:00:00,dati-regioni,ITA,16,Puglia,,,,nessun dato,non sono stati comunicati dati,
nd-IT-0006,2020-03-16T17:00:00,dati-andamento-nazionale,ITA,16,Puglia,,,,nessun dato,non sono stati comunicati dati,
nd-IT-0007,2020-03-17T17:00:00,dati-province,ITA,08,Emilia-Romagna,099,Rimini,RN,nessun dato,non sono stati comunicati dati,
nd-IT-0008,2020-03-17T17:00:00,dati-regioni,ITA,08,Emilia-Romagna,099,Rimini,RN,nessun dato,non sono stati comunicati dati,
nd-IT-0009,2020-03-17T17:00:00,dati-andamento-nazionale,ITA,08,Emilia-Romagna,099,Rimini,RN,nessun dato,non sono stati comunicati dati,
nd-IT-0010,2020-03-18T17:00:00,dati-province,ITA,08,Emilia-Romagna,034,Parma,PR,nessun dato,non sono stati comunicati dati,
nd-IT-0011,2020-03-18T17:00:00,dati-regioni,ITA,08,Emilia-Romagna,034,Parma,PR,nessun dato,non sono stati comunicati dati,
nd-IT-0012,2020-03-18T17:00:00,dati-andamento-nazionale,ITA,08,Emilia-Romagna,034,Parma,PR,nessun dato,non sono stati comunicati dati,
nd-IT-0013,2020-03-18T17:00:00,dati-regioni,ITA,15,Campania,,,,nessun dato,non sono stati comunicati dati,
nd-IT-0014,2020-03-18T17:00:00,dati-andamento-nazionale,ITA,15,Campania,,,,nessun dato,non sono stati comunicati dati,
pd-IT-0006,2020-03-26T17:00:00,dati-regioni,ITA,01,Piemonte,,,,dati parziali,comunicazione parziale dei dati,-50 deceduti - comunicazione tardiva
pd-IT-0007,2020-03-26T17:00:00,dati-andamento-nazionale,ITA,01,Piemonte,,,,dati parziali,comunicazione parziale dei dati,-50 deceduti - comunicazione tardiva
pd-IT-0008,2020-03-29T17:00:00,dati-regioni,ITA,08,Emilia-Romagna,,,,dati parziali,comunicazione parziale dei dati,dato tamponi non aggiornato
pd-IT-0009,2020-03-29T17:00:00,dati-andamento-nazionale,ITA,08,Emilia-Romagna,,,,dati parziali,comunicazione parziale dei dati, dato tamponi non aggiornato
pd-IT-0010,2020-04-10T17:00:00,dati-regioni,ITA,14,Molise,,,,dati parziali,comunicazione parziale dei dati,dato tamponi non aggiornato
