data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en
2020-12-03T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,698,76,774,17054,17828,-156,395,10428,940,29196,424370,241874,,
2020-12-03T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,161,20,181,6224,6405,48,131,2023,158,8586,156657,155787,,
2020-12-03T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,399,32,431,10160,10591,-299,280,6629,322,17542,372492,362057,,
2020-12-03T17:00:00,ITA,15,Campania,40.83956555,14.25084984,2041,162,2203,100371,102574,79,2295,56177,1818,160569,1639868,1118787,,
2020-12-03T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,2668,245,2913,67324,70237,-1068,1766,51674,5959,127870,2174960,1097761,,
2020-12-03T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,629,59,688,14195,14883,190,772,17146,941,32970,744835,290494,,
2020-12-03T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,3233,364,3597,89282,92879,975,1769,29616,2514,125009,2288573,1852335,,
2020-12-03T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,932,102,1034,10424,11458,-541,422,38887,2449,52794,614263,294667,,
2020-12-03T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,7025,836,7861,110470,118331,-465,3751,278058,22626,419015,4179837,2383936,,
2020-12-03T17:00:00,ITA,11,Marche,43.61675973,13.5188753,526,88,614,18335,18949,380,476,10793,1298,31040,420304,244290,,
2020-12-03T17:00:00,ITA,14,Molise,41.55774754,14.65916051,65,10,75,2357,2432,-151,53,2362,127,4921,94388,87258,,
2020-12-03T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,428,35,463,10752,11215,-114,374,12789,558,24562,317314,150436,,
2020-12-03T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,404,45,449,2083,2532,73,239,13200,674,16406,385118,138153,,
2020-12-03T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,4459,366,4825,65181,70006,-881,2230,96473,6452,172931,1619813,982816,,
2020-12-03T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1621,226,1847,39902,41749,989,1602,15912,1588,59249,812781,555325,,
2020-12-03T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,593,66,659,13561,14220,337,538,8196,462,22878,384979,323045,,
2020-12-03T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,1465,221,1686,38094,39780,49,1294,26432,1650,67862,992813,674771,,
2020-12-03T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,1467,272,1739,33691,35430,-2095,929,67618,2756,105804,1606027,971080,,
2020-12-03T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,344,54,398,6364,6762,-321,286,17314,440,24516,428429,228438,,
2020-12-03T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,113,11,124,994,1118,-88,42,5177,324,6619,61669,34276,,
2020-12-03T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,2501,307,2808,67795,70603,1811,3581,79905,3982,154490,2841581,1077351,,
