data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en
2020-06-30T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,33,0,33,164,197,-85,0,2626,464,3287,105653,70443,,
2020-06-30T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,1,0,1,2,3,0,0,372,27,402,39631,38851,,
2020-06-30T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,4,0,4,23,27,1,1,1057,97,1181,95094,93060,,
2020-06-30T17:00:00,ITA,15,Campania,40.83956555,14.25084984,29,0,29,152,181,19,24,4077,432,4690,282523,138482,,
2020-06-30T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.3417208,108,12,120,890,1010,-22,20,23222,4260,28492,495544,296112,,
2020-06-30T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,9,0,9,36,45,9,0,2918,345,3308,189955,106632,,
2020-06-30T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,189,13,202,634,836,-4,5,6437,837,8110,338035,276640,,
2020-06-30T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,46,3,49,231,280,3,3,8139,1558,9977,147156,78710,,
2020-06-30T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,297,42,339,9721,10060,-763,62,67197,16644,93901,1036548,619851,,
2020-06-30T17:00:00,ITA,11,Marche,43.61675973,13.5188753,8,0,8,258,266,-8,0,5528,991,6785,137340,82950,,
2020-06-30T17:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,25,25,-1,0,397,23,445,22660,21585,,
2020-06-30T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,3,1,4,80,84,-1,0,2263,292,2639,84172,40961,,
2020-06-30T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,1,0,1,49,50,-3,0,4408,405,4863,121315,62918,,
2020-06-30T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,267,12,279,1144,1423,-67,11,25836,4090,31349,415257,259420,,
2020-06-30T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,25,0,25,104,129,-16,0,3857,545,4531,178251,118741,,
2020-06-30T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,6,0,6,8,14,0,2,1219,133,1366,83439,70030,,
2020-06-30T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,19,3,22,106,128,1,2,2670,282,3080,209071,171130,,
2020-06-30T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,17,6,23,306,329,2,2,8817,1104,10250,337110,229809,,
2020-06-30T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,3,1,4,6,10,1,1,1351,80,1441,95627,65217,,
2020-06-30T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,4,0,4,0,4,1,1,1045,146,1195,18263,13805,,
2020-06-30T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,21,0,21,441,462,0,8,16812,2012,19286,957466,408628,,
