codice_regione,denominazione_regione,Età,Maschi celibi,Maschi coniugati,Maschi divorziati,Maschi vedovi,Maschi uniti civilmente,Maschi già in unione civile (per scioglimento),Maschi già in unione civile (per decesso del partner),Totale Maschi,Femmine nubili,Femmine coniugate,Femmine divorziate,Femmine vedove,Femmine unite civilmente,Femmine già in unione civile (per scioglimento),Femmine già in unione civile (per decesso del partner),Totale Femmine,Popolazione
13,Abruzzo,0,4540,0,0,0,0,0,0,4540,4331,0,0,0,0,0,0,4331,8871
13,Abruzzo,1,4901,0,0,0,0,0,0,4901,4593,0,0,0,0,0,0,4593,9494
13,Abruzzo,2,5165,0,0,0,0,0,0,5165,4838,0,0,0,0,0,0,4838,10003
13,Abruzzo,3,5262,0,0,0,0,0,0,5262,4941,0,0,0,0,0,0,4941,10203
13,Abruzzo,4,5333,0,0,0,0,0,0,5333,5042,0,0,0,0,0,0,5042,10375
13,Abruzzo,5,5451,0,0,0,0,0,0,5451,5108,0,0,0,0,0,0,5108,10559
13,Abruzzo,6,5665,0,0,0,0,0,0,5665,5397,0,0,0,0,0,0,5397,11062
13,Abruzzo,7,5900,0,0,0,0,0,0,5900,5373,0,0,0,0,0,0,5373,11273
13,Abruzzo,8,5953,0,0,0,0,0,0,5953,5678,0,0,0,0,0,0,5678,11631
13,Abruzzo,9,5860,0,0,0,0,0,0,5860,5537,0,0,0,0,0,0,5537,11397
13,Abruzzo,10,6070,0,0,0,0,0,0,6070,5722,0,0,0,0,0,0,5722,11792
13,Abruzzo,11,5915,0,0,0,0,0,0,5915,5672,0,0,0,0,0,0,5672,11587
13,Abruzzo,12,5926,0,0,0,0,0,0,5926,5541,0,0,0,0,0,0,5541,11467
13,Abruzzo,13,5910,0,0,0,0,0,0,5910,5685,0,0,0,0,0,0,5685,11595
13,Abruzzo,14,6048,0,0,0,0,0,0,6048,5577,0,0,0,0,0,0,5577,11625
13,Abruzzo,15,5985,0,0,0,0,0,0,5985,5576,0,0,0,0,0,0,5576,11561
13,Abruzzo,16,5935,0,0,0,0,0,0,5935,5485,0,0,0,0,0,0,5485,11420
13,Abruzzo,17,6076,0,0,0,0,0,0,6076,5740,0,0,0,0,0,0,5740,11816
13,Abruzzo,18,6423,1,0,0,0,0,0,6424,5664,12,0,0,0,0,0,5676,12100
13,Abruzzo,19,6363,5,0,0,0,0,0,6368,5725,38,0,0,0,0,0,5763,12131
13,Abruzzo,20,6502,13,0,0,1,0,0,6516,5856,74,1,0,0,0,0,5931,12447
13,Abruzzo,21,6571,12,1,0,0,0,0,6584,5748,105,0,1,0,0,0,5854,12438
13,Abruzzo,22,6538,36,0,0,0,0,0,6574,5942,167,1,0,1,0,0,6111,12685
13,Abruzzo,23,6568,82,0,0,0,0,0,6650,5702,299,3,0,1,0,0,6005,12655
13,Abruzzo,24,6690,115,1,0,2,0,0,6808,5959,415,5,1,0,0,0,6380,13188
13,Abruzzo,25,6919,172,0,0,1,0,0,7092,5956,574,4,2,3,0,0,6539,13631
13,Abruzzo,26,7003,280,1,0,0,0,0,7284,6037,834,7,1,1,0,0,6880,14164
13,Abruzzo,27,6845,409,5,0,2,0,0,7261,5701,1149,11,1,1,0,0,6863,14124
13,Abruzzo,28,6765,628,3,0,0,0,0,7396,5525,1486,25,3,2,0,0,7041,14437
13,Abruzzo,29,6524,948,4,0,3,0,0,7479,5107,1840,36,5,2,0,0,6990,14469
13,Abruzzo,30,6276,1229,17,0,0,0,0,7522,4851,2337,37,6,1,0,0,7232,14754
13,Abruzzo,31,5691,1574,11,2,0,0,0,7278,4332,2789,42,8,2,1,0,7174,14452
13,Abruzzo,32,5576,1953,15,2,3,0,0,7549,4013,3225,68,9,3,0,0,7318,14867
13,Abruzzo,33,5295,2393,28,1,0,0,0,7717,3906,3531,98,11,2,0,0,7548,15265
13,Abruzzo,34,5027,2831,52,1,2,0,0,7913,3529,3934,130,12,2,1,0,7608,15521
13,Abruzzo,35,4731,3062,54,2,0,0,0,7849,3254,4238,122,15,1,0,0,7630,15479
13,Abruzzo,36,4499,3515,89,5,1,0,0,8109,3170,4758,160,23,1,0,0,8112,16221
13,Abruzzo,37,4245,3759,86,4,6,0,0,8100,2821,4920,192,35,3,0,0,7971,16071
13,Abruzzo,38,4113,4192,100,5,5,0,0,8415,2667,5127,244,47,1,0,0,8086,16501
13,Abruzzo,39,3946,4615,144,9,1,0,0,8715,2534,5621,261,39,5,0,0,8460,17175
13,Abruzzo,40,3827,5052,183,7,4,0,0,9073,2409,6018,289,38,1,0,0,8755,17828
13,Abruzzo,41,3741,5157,163,14,2,0,0,9077,2317,6133,320,65,3,0,0,8838,17915
13,Abruzzo,42,3624,5607,231,9,3,0,0,9474,2260,6597,378,73,2,0,0,9310,18784
13,Abruzzo,43,3376,5813,257,24,3,0,0,9473,2258,6943,442,87,1,0,0,9731,19204
13,Abruzzo,44,3396,6421,283,18,3,0,0,10121,2051,7297,474,127,1,0,0,9950,20071
13,Abruzzo,45,3036,6384,300,28,3,1,0,9752,1956,7511,486,116,1,0,0,10070,19822
13,Abruzzo,46,2892,6792,337,27,2,1,0,10051,1908,7715,569,136,2,0,0,10330,20381
13,Abruzzo,47,2784,6940,381,26,2,0,0,10133,1883,7986,580,165,2,0,0,10616,20749
13,Abruzzo,48,2595,7003,362,35,4,1,0,10000,1597,8004,578,180,1,0,0,10360,20360
13,Abruzzo,49,2478,7541,434,45,3,0,0,10501,1633,8165,655,228,2,0,1,10684,21185
13,Abruzzo,50,2287,7613,444,49,3,0,0,10396,1503,8273,645,242,0,0,0,10663,21059
13,Abruzzo,51,2078,7781,464,59,5,0,0,10387,1472,8491,625,269,3,0,0,10860,21247
13,Abruzzo,52,1971,8012,456,79,5,0,0,10523,1314,8557,627,357,0,0,0,10855,21378
13,Abruzzo,53,1814,8077,551,97,4,1,0,10544,1213,8620,648,379,2,0,0,10862,21406
13,Abruzzo,54,1794,8298,500,103,2,0,0,10697,1191,8549,680,411,0,1,0,10832,21529
13,Abruzzo,55,1497,7832,495,105,4,0,0,9933,1094,8139,630,477,1,1,0,10342,20275
