data;  totale_visitatori_giorno;visitatori_picco_ore_18;totale_visitatori_progressivo;note
2020-03-08;771423;93000;771423;
2020-03-09;607409;95000;1378832;
2020-03-10;672436;95000;2051268;
2020-03-11;555540;91000;2606808;
2020-03-12;609824;145000;3216632;
2020-03-13;502824;90000;3719456;
2020-03-14;691015;122000;4410471;
2020-03-15;675961;112000;5086432;
2020-03-16;644550;122000;5730982;
2020-03-17;509428;87000;6240410;
2020-03-18;663570;108000;6903980;
2020-03-19;618349;99000;7522329;
2020-03-20;621598;114000;8143927;
2020-03-21;541809;106000;8685736;
2020-03-22;577936;137000;9263672;
2020-03-23;594099;128000;9857771;
2020-03-24;647005;167000;10504776;
2020-03-25;553844;117000;11058620;
2020-03-26;603236;118000;11661856;
2020-03-27;511614;102000;12173470;
2020-03-28;448914;69000;12622384;
2020-03-29;416620;80000;13039004;
2020-03-30;413282;90000;13452286;
2020-03-31;454586;89000;13906872;
2020-04-01;451391;81000;14358263;
2020-04-02;475571;103000;14833834;
2020-04-03;386987;68000;15220821;
2020-04-04;441281;85000;15662102;
2020-04-05;351326;64000;16013428;
2020-04-06;349420;64000;16362848;
2020-04-07;358105;55000;16720953;
2020-04-08;374814;64000;17095767;
2020-04-09;363418;62000;17459185;
2020-04-10;317598;50000;17776783;
2020-04-11;259633;42000;18036416;
2020-04-12;212663;38000;18249079;
2020-04-13;219600;36000;18468679;
2020-04-14;352532;52000;18821211;
2020-04-15;417593;56000;19238804;
2020-04-16;402713;64000;19641517;
2020-04-17;399564;64000;20041081;
2020-04-18;387628;57000;20428709;ultima conferenza stampa giornaliera (17/4)
2020-04-19;388736;50000;20817445;
2020-04-20;401166;66000;21218611;conferenza stampa
2020-04-21;435528;66000;21654139;
2020-04-22;457480;69000;22111619;
2020-04-23;427649;55000;22539268;conferenza stampa
2020-04-24;393338;51000;22932606;
2020-04-25;346075;42000;23278681;
2020-04-26;333245;43000;23611926;
2020-04-27;353023;52000;23964949;conferenza stampa
2020-04-28;365243;51000;24330192;
2020-04-29;278535;34000;24608727;
2020-04-30;232444;29000;24841171;ultima conferenza stampa
2020-05-01;202907;31000;25044078;
2020-05-02;227805;39000;25271883;
2020-05-03;212465;33000;25484348;
2020-05-04;211102;34000;25695450;
2020-05-05;201209;27000;25896659;
2020-05-06;192058;27000;26088717;
2020-05-07;205162;31000;26293879;
2020-05-08;192071;26000;26485950;
2020-05-09;184253;26000;26670203;
2020-05-10;175969;25000;26846172;
2020-05-11;184885;29000;27031057;
2020-05-12;188575;27000;27219632;
2020-05-13;196899;34000;27416531;
2020-05-14;188675;27000;27605206;
2020-05-15;172594;24000;27777800;
2020-05-16;170143;25000;27947943;
2020-05-17;160174;24000;28108117;
2020-05-18;151440;22000;28259557;Fase2
2020-05-19;153526;21000;28413083;
2020-05-20;151983;22000;28565066;
2020-05-21;145177;20000;28710243;
2020-05-22;136018;17000;28846261;
2020-05-23;123061;17000;28969322;
2020-05-24;116542;16000;29085864;
2020-05-25;134373;19000;29220237;
2020-05-26;135006;17000;29355243;
2020-05-27;129562;18000;29484805;
2020-05-28;126648;16000;29611453;
2020-05-29;121510;18000;29732963;
2020-05-30;107539;15000;29840502;
2020-05-31;100362;14000;29940864;
2020-06-01;111904;15000;30052768;
2020-06-02;106440;16000;30159208;
2020-06-03;110922;16000;30270130;
2020-06-04;89780;12000;30359910;Fase3
2020-06-05;103041;14000;30462951;
2020-06-06;99532;12000;30562483;
2020-06-07;91266;12000;30653749;
2020-06-08;96315;13000;30750064;
2020-06-09;86853;12000;30836917;
2020-06-10;85207;11000;30922124;
2020-06-11;81256;10000;31003380;
2020-06-12;80261;10000;31083641;
2020-06-13;76106;9000;31159747;
2020-06-14;71685;9000;31231432;
2020-06-15;76920;11000;31308352;
2020-06-16;71972;9500;31380324;
2020-06-17;67442;8500;31447766;
2020-06-18;71645;9500;31519411;
2020-06-19;66896;8000;31586307;
2020-06-20;75127;11000;31661434;
2020-06-21;57250;7300;31718684;
2020-06-22;61842;8000;31780526;
2020-06-23;60673;7700;31841199;
2020-06-24;58779;7500;31899978;
2020-06-25;70835;10000;31970813;
2020-06-26;72569;9800;32043382;
2020-06-27;57681;7000;32101063;
2020-06-28;49675;5400;32150738;
2020-06-29;47619;5100;32198357;
2020-06-30;50065;5000;32248422;
2020-07-01;48205;5000;32296627;
2020-07-02;46986;5500;32343613;
